ID,h(s0),Thresholds,Optimal Moves,Expanded Nodes,Expanded/sec,Time (secs)
1,41,41 43 45 47 49 51 53 55 57,57,"77,138,658","8,313,906",9.28
2,43,43 47 49 51 53 55,55,"2,937,285","8,724,237",0.34
3,41,41 45 47 49 51 53 55 57 59,59,"95,347,992","8,742,682",10.91
4,42,42 44 46 48 50 52 54 56,56,"33,152,534","9,238,433",3.59
14,41,41 43 45 47 49 51 53 55 57 59 61,61,"1,034,575,816","9,437,904",109.62
88,43,43 47 49 51 53 55 57 59 61 63 65,65,"1,879,404,554","8,404,575",223.62
